,region,housing_type,consumption
125,North East Region,4-room,422.1180952380955
126,Marine Parade,Public Housing,276.1831578947367
127,Marine Parade,5-room and Executive,213.44166666666752
128,Marine Parade,Landed Properties,1546.935789473684
129,Marine Parade,3-room,218.5333333333333
130,Marine Parade,Private Housing,456.7284210526341
131,Marine Parade,1-room / 2-room,278.3094736842113
132,Marine Parade,Overall,537.3747368421054
133,Marine Parade,Private Apartments and Condominiums,347.2484210526327
134,Marine Parade,4-room,252.68190476190466
135,Tanglin,Public Housing,245.65999999999985
136,Tanglin,5-room and Executive,382.75476190476184
137,Tanglin,Landed Properties,4073.432631578944
138,Tanglin,3-room,448.26380952380987
139,Tanglin,Private Housing,488.28421052631893
140,Tanglin,1-room / 2-room,-1.0
141,Tanglin,Overall,497.5368421052626
142,Tanglin,Private Apartments and Condominiums,245.8989473684196
143,Tanglin,4-room,346.50476190476206
144,Paya Lebar,Public Housing,-1.0
145,Paya Lebar,5-room and Executive,-1.0
146,Paya Lebar,Landed Properties,-1.0
147,Paya Lebar,3-room,-1.0
148,Paya Lebar,Private Housing,3272.2884210526245
149,Paya Lebar,1-room / 2-room,-1.0
150,Paya Lebar,Overall,3260.9536842105153
151,Paya Lebar,Private Apartments and Condominiums,2567.483157894734
152,Paya Lebar,4-room,-1.0
153,Clementi,Public Housing,284.75473684210533
154,Clementi,5-room and Executive,299.9880952380936
155,Clementi,Landed Properties,1104.9326315789467
156,Clementi,3-room,228.6314285714284
157,Clementi,Private Housing,158.362105263157
158,Clementi,1-room / 2-room,238.2673684210522
159,Clementi,Overall,352.48105263157913
160,Clementi,Private Apartments and Condominiums,213.8368421052619
161,Clementi,4-room,247.46571428571497
162,West Region,Public Housing,336.3936842105263
163,West Region,5-room and Executive,392.3571428571431
164,West Region,Landed Properties,919.3431578947384
165,West Region,3-room,292.7838095238096
166,West Region,Private Housing,284.7484210526309
167,West Region,1-room / 2-room,231.08315789473681
168,West Region,Overall,351.0642105263155
169,West Region,Private Apartments and Condominiums,269.96947368421024
170,West Region,4-room,413.62857142857183
171,Bukit Panjang,Public Housing,332.23263157894735
172,Bukit Panjang,5-room and Executive,380.39880952380963
173,Bukit Panjang,Landed Properties,1162.507368421053
174,Bukit Panjang,3-room,228.28952380952342
175,Bukit Panjang,Private Housing,235.08105263157995
176,Bukit Panjang,1-room / 2-room,263.8763736263736
177,Bukit Panjang,Overall,344.2389473684211
178,Bukit Panjang,Private Apartments and Condominiums,195.85894736842238
179,Bukit Panjang,4-room,373.5866666666666
180,Bukit Timah,Public Housing,271.80631578947396
181,Bukit Timah,5-room and Executive,331.4357142857134
